0.19,0.01,-9.71,-0.0002,0.0348,-0.0046
0.16,-0.02,-9.7,-0.0004,0.032,-0.0044
0.2,-0.02,-9.72,-0.0004,0.0292,-0.0046
0.18,-0.02,-9.72,-0.0006,0.0264,-0.0046
0.21,0,-9.71,-0.0006,0.0238,-0.0046
0.21,0,-9.71,-0.0008,0.021,-0.0048
0.21,0,-9.7,-0.0008,0.0184,-0.0048
0.22,-0,-9.73,-0.001,0.0158,-0.0048
0.23,0.01,-9.69,-0.001,0.0134,-0.0048
0.22,-0.02,-9.7,-0.001,0.0112,-0.005
0.23,-0.01,-9.72,-0.0012,0.0088,-0.005
0.24,-0.03,-9.72,-0.0014,0.0066,-0.0052
0.23,-0,-9.72,-0.0014,0.0048,-0.005
0.25,-0.02,-9.72,-0.0014,0.0026,-0.0052
0.25,-0.03,-9.71,-0.0014,0.001,-0.0052
0.28,-0.03,-9.71,-0.0016,-0.0006,-0.0052
0.26,-0.02,-9.69,-0.0014,-0.0022,-0.0054
0.28,-0,-9.69,-0.0016,-0.0036,-0.0054
0.26,-0.02,-9.71,-0.0016,-0.005,-0.0056
0.27,-0.01,-9.71,-0.0016,-0.006,-0.0054
0.28,-0,-9.72,-0.0016,-0.0072,-0.0056
0.28,-0.02,-9.7,-0.0016,-0.008,-0.0056
0.3,-0.01,-9.72,-0.0016,-0.009,-0.0058
0.27,-0.02,-9.73,-0.0018,-0.0098,-0.0058
0.28,-0.01,-9.72,-0.0016,-0.0102,-0.0058
0.3,-0,-9.72,-0.0016,-0.011,-0.006
0.29,-0.03,-9.71,-0.0016,-0.0112,-0.0058
0.29,-0.04,-9.74,-0.0016,-0.0118,-0.006
0.3,0.01,-9.74,-0.0014,-0.0122,-0.0062
0.28,-0.01,-9.73,-0.0014,-0.0122,-0.0062
0.32,0.01,-9.73,-0.0016,-0.0124,-0.006
0.3,-0.01,-9.76,-0.0014,-0.0124,-0.0064
0.31,-0,-9.74,-0.0012,-0.0126,-0.0062
0.3,-0.02,-9.76,-0.0012,-0.0126,-0.0064
0.3,-0.02,-9.75,-0.0012,-0.0124,-0.0064
0.32,-0.02,-9.77,-0.0012,-0.0124,-0.0062
0.32,-0.02,-9.75,-0.0012,-0.0124,-0.0066
0.3,-0.01,-9.76,-0.001,-0.012,-0.0066
0.31,0.01,-9.76,-0.001,-0.0118,-0.0066
0.31,-0.01,-9.77,-0.0008,-0.0118,-0.0068
0.32,-0.02,-9.78,-0.0008,-0.0114,-0.0068
