1.3,0.27,-0.02,-9.77,-0.0004,-0.0114,0.0106
1.31,0.26,-0.01,-9.77,-0.0002,-0.0112,0.011
1.32,0.25,-0.01,-9.78,-0.0002,-0.0112,0.0114
1.33,0.26,-0.01,-9.77,-0.0004,-0.0108,0.0116
1.34,0.25,-0.02,-9.79,-0.0002,-0.0106,0.012
1.35,0.25,-0,-9.81,-0.0004,-0.0104,0.0124
1.36,0.24,-0.01,-9.79,-0.0002,-0.01,0.0126
1.37,0.24,-0.01,-9.8,-0.0002,-0.0096,0.0132
1.38,0.26,-0,-9.8,-0.0002,-0.0096,0.0136
1.39,0.25,-0,-9.81,-0.0004,-0.0092,0.014
1.4,0.26,-0.01,-9.82,-0.0002,-0.0086,0.0142
1.41,0.24,-0.01,-9.81,-0.0002,-0.0086,0.0148
1.42,0.26,-0.02,-9.81,-0.0002,-0.0082,0.0152
1.43,0.25,-0.02,-9.82,-0.0004,-0.008,0.0156
1.44,0.24,0,-9.82,-0.0002,-0.0076,0.0162
1.45,0.25,-0.03,-9.82,-0.0002,-0.0072,0.0164
1.46,0.26,-0.01,-9.83,-0.0004,-0.007,0.017
1.47,0.25,-0.03,-9.83,-0.0002,-0.0068,0.0176
1.48,0.24,-0.02,-9.83,-0.0002,-0.0064,0.0178
1.49,0.26,-0.02,-9.83,-0.0004,-0.0062,0.0184
1.5,0.26,-0.01,-9.81,-0.0002,-0.0058,0.0188
1.51,0.24,0,-9.84,-0.0002,-0.0056,0.0192
1.52,0.27,-0.01,-9.83,-0.0002,-0.0054,0.0198
1.53,0.25,-0.01,-9.82,-0.0004,-0.005,0.0202
1.54,0.25,-0.01,-9.84,-0.0002,-0.005,0.0208
1.55,0.24,-0.03,-9.82,-0.0002,-0.0048,0.0214
1.56,0.25,-0.03,-9.84,-0.0002,-0.0044,0.0218
1.57,0.26,-0.01,-9.84,-0.0004,-0.0042,0.0222
1.58,0.25,-0.01,-9.83,-0,-0.004,0.0228
1.59,0.24,0,-9.85,-0.0004,-0.0038,0.0232
1.6,0.26,-0.02,-9.83,-0.0002,-0.0036,0.024
1.61,0.26,-0.03,-9.85,-0.0002,-0.0034,0.0242
1.62,0.26,-0.01,-9.82,-0.0002,-0.0032,0.025
1.63,0.24,-0.01,-9.83,-0,-0.003,0.0254
1.64,0.26,-0,-9.83,-0.0002,-0.0028,0.026
1.65,0.26,-0.01,-9.83,-0.0002,-0.0026,0.0266
1.66,0.26,0,-9.84,-0.0002,-0.0024,0.027
1.67,0.25,-0.01,-9.82,-0,-0.0022,0.0278
1.68,0.26,-0.03,-9.8,-0.0002,-0.002,0.0282
1.69,0.24,-0.03,-9.84,-0.0002,-0.0018,0.0288
1.7,0.25,-0.01,-9.84,-0,-0.0016,0.0294
1.71,0.24,-0.01,-9.84,-0.0002,-0.0014,0.0298
1.72,0.25,-0.01,-9.83,-0.0002,-0.0014,0.0306
1.73,0.25,-0.02,-9.83,-0,-0.001,0.031
1.74,0.23,-0.01,-9.83,-0.0002,-0.0008,0.0318
1.75,0.26,-0.02,-9.8,-0,-0.0008,0.0322
1.76,0.24,-0.02,-9.84,-0,-0.0004,0.0328
1.77,0.25,0,-9.82,-0.0002,-0.0004,0.0334
1.78,0.25,-0.01,-9.82,0,-0,0.034
1.79,0.23,0,-9.8,-0,-0,0.0346
1.8,0.24,-0,-9.83,-0,0.0002,0.0352
1.81,0.21,-0.01,-9.81,-0,0.0004,0.0358
1.82,0.25,-0.01,-9.81,-0,0.0004,0.0364
1.83,0.24,0.01,-9.82,0,0.0008,0.0372
1.84,0.23,-0.01,-9.81,0,0.0008,0.0376
1.85,0.24,0,-9.79,0.0002,0.001,0.0382
1.86,0.23,-0.02,-9.8,-0,0.001,0.039
1.87,0.22,-0.01,-9.79,0,0.0012,0.0394
1.88,0.23,-0.01,-9.78,0,0.0012,0.0402
1.89,0.23,0.02,-9.81,0.0002,0.0014,0.0408
1.9,0.23,-0.02,-9.79,0.0002,0.0016,0.0412
1.91,0.21,0,-9.79,0,0.0016,0.042
1.92,0.24,0.01,-9.79,0.0002,0.0016,0.0426
1.93,0.24,0,-9.79,0.0002,0.0016,0.0432
